Round,Track,Qualifying,Stint,Lap,"Rear Wing","Front Wing",Engine,Brake,Differential,Suspension,Fuel,"Tyre Remaining","Tyre Choice","Lap Time","Lap Distance",Cornering,Inclines,Camber,Grip,Altitude,Roughness,Width,Temperature,Humidity,"Wind (Avg. Speed)","Wind (Gusts)","Air Density","Air Pressure"
1,Italy,1,0,1,151,111,4,70,83,47,10,100,"Extra Soft",83.699607342,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,1,500,500,500,500,500,500,47.610559080324,93.74955074896,"Extra Soft",102.343333742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,2,500,500,500,500,500,500,45.221118160647,87.49910149792,"Extra Soft",102.69517816482,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,3,500,500,500,500,500,500,42.831677240971,81.24865224688,"Extra Soft",103.54202258765,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,4,500,500,500,500,500,500,40.442236321294,74.99820299584,"Extra Soft",101.78186701047,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,5,500,500,500,500,500,500,38.052795401618,68.7477537448,"Extra Soft",101.9557114333,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,6,500,500,500,500,500,500,35.663354481941,62.49730449376,"Extra Soft",102.58855585612,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,7,500,500,500,500,500,500,33.273913562265,56.246855242721,"Extra Soft",101.58240027894,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,8,500,500,500,500,500,500,30.884472642588,49.996405991681,"Extra Soft",101.94624470177,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,9,500,500,500,500,500,500,28.495031722912,43.745956740641,"Extra Soft",102.49708912459,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,1,10,500,500,500,500,500,500,26.105590803235,37.495507489601,"Extra Soft",101.88493354742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,2,1,151,111,4,70,3,122,47.610559080324,93.74955074896,"Extra Soft",86.069211502,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,2,2,151,111,4,70,3,122,45.221118160647,87.49910149792,"Extra Soft",86.618055924824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,2,3,151,111,4,70,3,122,42.831677240971,81.24865224688,"Extra Soft",85.615900347648,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,3,1,300,300,200,260,240,270,47.610559080324,96.258978663765,Soft,94.231333742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,3,2,300,300,200,260,240,270,45.221118160647,92.51795732753,Soft,93.203178164824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,3,3,300,300,200,260,240,270,42.831677240971,88.776935991295,Soft,93.703022587648,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,1,500,500,500,500,500,500,47.610559080324,93.74955074896,"Extra Soft",103.004333742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,2,500,500,500,500,500,500,45.221118160647,87.49910149792,"Extra Soft",102.45417816482,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,3,500,500,500,500,500,500,42.831677240971,81.24865224688,"Extra Soft",102.38202258765,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,4,500,500,500,500,500,500,40.442236321294,74.99820299584,"Extra Soft",102.81486701047,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,5,500,500,500,500,500,500,38.052795401618,68.7477537448,"Extra Soft",102.2467114333,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,6,500,500,500,500,500,500,35.663354481941,62.49730449376,"Extra Soft",101.68955585612,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,7,500,500,500,500,500,500,33.273913562265,56.246855242721,"Extra Soft",101.40140027894,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,8,500,500,500,500,500,500,30.884472642588,49.996405991681,"Extra Soft",101.22024470177,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,9,500,500,500,500,500,500,28.495031722912,43.745956740641,"Extra Soft",102.15908912459,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,4,10,500,500,500,500,500,500,26.105590803235,37.495507489601,"Extra Soft",102.45993354742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,5,1,437,219,5,74,3,116,47.610559080324,93.74955074896,"Extra Soft",88.959077902,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,5,2,437,219,5,74,3,116,45.221118160647,87.49910149792,"Extra Soft",87.899922324824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,5,3,437,219,5,74,3,116,42.831677240971,81.24865224688,"Extra Soft",89.406766747648,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,5,4,437,219,5,74,3,116,40.442236321294,74.99820299584,"Extra Soft",88.159611170472,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,5,5,437,219,5,74,3,116,38.052795401618,68.7477537448,"Extra Soft",87.524455593296,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,6,1,238,160,1,76,6,95,47.610559080324,93.74955074896,"Extra Soft",86.763933742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,6,2,238,160,1,76,6,95,45.221118160647,87.49910149792,"Extra Soft",86.861778164824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,6,3,238,160,1,76,6,95,42.831677240971,81.24865224688,"Extra Soft",87.515622587648,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,7,1,212,222,6,200,24,106,57.610559080324,93.74955074896,"Extra Soft",89.909373742,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,7,2,212,222,6,200,24,106,55.221118160647,87.49910149792,"Extra Soft",88.568218164824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,7,3,212,222,6,200,24,106,52.831677240971,81.24865224688,"Extra Soft",89.542062587648,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,7,4,212,222,6,200,24,106,50.442236321294,74.99820299584,"Extra Soft",88.194907010472,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,8,1,151,111,4,70,3,122,27.610559080324,93.74955074896,"Extra Soft",84.894131502,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,0,8,2,151,111,4,70,3,122,25.221118160647,87.49910149792,"Extra Soft",84.458975924824,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
