Round,Track,Lap,Position,Fuel,"Tyre Condition","Tyre Choice",Pit,"Lap Time","Lap Distance",Cornering,Inclines,Camber,Grip,Altitude,Roughness,Width,Temperature,Humidity,"Wind (Avg. Speed)","Wind (Gusts)","Air Density","Air Pressure"
1,Italy,1,6,60.610559080324,96.258978663765,Soft,0,88.593447913429,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,2,5,58.221118160647,92.51795732753,Soft,0,86.978292336253,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,3,6,55.831677240971,88.776935991295,Soft,0,87.692136759077,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,4,6,53.442236321294,85.03591465506,Soft,0,87.847981181901,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,5,6,51.052795401618,81.294893318825,Soft,0,87.014825604725,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,6,6,48.663354481941,77.55387198259,Soft,0,87.200670027549,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,7,6,46.273913562265,73.812850646355,Soft,0,87.786514450373,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,8,6,43.884472642588,70.07182931012,Soft,0,86.458358873197,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,9,5,41.495031722912,66.330807973885,Soft,0,85.901203296021,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,10,6,39.105590803235,62.58978663765,Soft,0,86.360047718845,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,11,6,36.716149883559,58.848765301415,Soft,0,87.294892141669,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,12,6,34.326708963882,55.10774396518,Soft,0,86.608736564493,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,13,6,31.937268044206,51.366722628945,Soft,0,85.055580987317,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,14,5,29.54782712453,47.62570129271,Soft,0,84.875425410141,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,15,5,27.158386204853,43.884679956475,Soft,0,85.825269832965,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,16,5,24.768945285177,40.14365862024,Soft,0,84.705114255789,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,17,5,22.3795043655,36.402637284005,Soft,0,84.398958678613,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,18,5,19.990063445824,32.66161594777,Soft,0,84.520803101437,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,19,5,17.600622526147,28.920594611535,Soft,0,84.556647524261,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,20,5,15.211181606471,25.1795732753,Soft,0,84.104491947085,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,21,5,12.821740686794,21.438551939065,Soft,0,83.913336369909,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,22,5,10.432299767118,17.69753060283,Soft,0,85.423180792733,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,23,5,8.0428588474414,13.956509266595,Soft,0,83.881025215557,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,24,4,5.653417927765,10.21548793036,Soft,0,84.496869638381,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,25,6,60,100,Soft,1,113.91771406121,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,26,6,57.610559080324,96.258978663765,Soft,0,88.206535913429,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,27,6,55.221118160647,92.51795732753,Soft,0,86.985380336253,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,28,5,52.831677240971,88.776935991295,Soft,0,87.569224759077,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
1,Italy,29,5,50.442236321294,85.03591465506,Soft,0,86.590069181901,4.4,19,67,90,23,7,65,51,21,14,46,3,84,37
